frequency,word,definitions
1,ANOTHER,"['any of various alternatives; some other', 'or some other']"
1,APPROACH,"['ideas or actions intended to deal with a problem or situation', 'the act of drawing spatially closer to something', 'a way of entering or leaving', 'the final path followed by an aircraft as it is landing', 'the event of one object coming closer to another', 'a tentative suggestion designed to elicit the reactions of others', 'the temporal property of becoming nearer in time', 'a close approximation', 'a relatively short golf shot intended to put the ball onto the putting green']"
1,APPROACH,"['move towards', 'come near or verge on, resemble, come nearer in quality, or character', 'begin to deal with', 'come near in time', 'make advances to someone, usually with a proposal or suggestion']"
1,AUSCHWITZ,['a Nazi concentration camp for Jews in southwestern Poland during World War II']
1,BALANCE,"['a state of equilibrium', 'equality between the totals of the credit and debit sides of an account', 'harmonious arrangement or relation of parts or elements within a whole (as in a design', 'equality of distribution', 'something left after other parts have been taken away', 'the difference between the totals of the credit and debit sides of an account', '(astrology', 'the seventh sign of the zodiac; the sun is in this sign from about September 23 to October 22', '(mathematics', 'a weight that balances another weight', 'a wheel that regulates the rate of movement in a machine; especially a wheel oscillating against the hairspring of a timepiece to regulate its beat', 'a scale for weighing; depends on pull of gravity']"
1,BALANCE,"['bring into balance or equilibrium', 'compute credits and debits of an account', 'hold or carry in equilibrium', 'be in equilibrium']"
1,CENSORSHIP,"['counterintelligence achieved by banning or deleting any information of value to the enemy', 'deleting parts of publications or correspondence or theatrical performances']"
1,CONSIDER,"['deem to be', 'give careful consideration to', 'take into consideration for exemplifying purposes', 'show consideration for; take into account', 'think about carefully; weigh', 'judge or regard; look upon; judge', 'look at attentively', 'look at carefully; study mentally', 'regard or treat with consideration, respect, and esteem']"
1,CREDIBILITY,['the quality of being believable or trustworthy']
1,DISHONESTY,"['the quality of being dishonest', 'lack of honesty; acts of lying or cheating or stealing']"
1,EISENHOWER,['United States general who supervised the invasion of Normandy and the defeat of Nazi Germany; 34th President of the United States (1890-1961']
1,ENDORPHINS,['a neurochemical occurring naturally in the brain and having analgesic properties']
1,EVIDENTLY,"[""unmistakably (`plain' is often used informally for `plainly'""]"
1,FACTS,"['a piece of information about circumstances that exist or events that have occurred', 'a statement or assertion of verified information about something that is the case or has happened', 'an event known to have happened or something known to have existed', 'a concept whose truth can be proved']"
1,FINALLY,"['after an unspecified period of time or an especially long delay', 'as the end result of a succession or process', 'the item at the end']"
1,FIRSTLY,['before anything else']
1,FURTHERMORE,['in addition']
1,GALLUP,['a town in northwestern New Mexico near the Arizona border']
1,GENERAL,"['a general officer of the highest rank', 'the head of a religious order or congregation', 'a fact about the whole (as opposed to particular']"
1,GENERAL,"['applying to all or most members of a category or group', 'not specialized or limited to one class of things', 'prevailing among and common to the general public', 'affecting the entire body', 'somewhat indefinite', 'of worldwide scope or applicability']"
1,GENERAL,['command as a general']
1,HAPPINESS,"['state of well-being characterized by emotions ranging from contentment to intense joy', 'emotions experienced when in a state of well-being']"
1,HOLOCAUST,"['an act of mass destruction and loss of life (especially in war or by fire', 'the mass murder of Jews under the German Nazi regime from 1941 until 1945']"
1,HOWEVER,"['despite anything to the contrary (usually preceding a concession', 'by contrast; on the other hand', 'to whatever degree or extent', 'in whatever way or manner']"
1,HUMOUR,"['a characteristic (habitual or relatively temporary', 'a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter', '(Middle Ages', 'the liquid parts of the body', 'the quality of being funny', 'the trait of appreciating (and being able to express']"
1,HUMOUR,['put into a good mood']
1,IMPROVE,"['to make better', 'get better']"
1,INDIVIDUALS,"['a human being', 'a single organism']"
1,INSTEAD,"['in place of, or as an alternative to', 'on the contrary', 'or instead']"
1,JANUARY,['the first month of the year; begins 10 days after the winter solstice']
1,JOURNALISTS,"['a writer for newspapers and magazines', 'someone who keeps a diary or journal']"
1,LAUGHING,['showing or feeling mirth or pleasure or happiness']
1,LAUGHING,['produce laughter']
1,LAUGHTER,"['the sound of laughing', 'the activity of laughing; the manifestation of joy or mirth or scorn']"
1,MEDIA,"['a means or instrumentality for storing or communicating information', 'the surrounding environment', 'an intervening substance through which signals can travel as a means for communication', '(bacteriology', 'solid or liquid', 'a liquid with which pigment is mixed by a painter', '(biology', 'an intervening substance through which something is achieved', 'a state that is intermediate between extremes; a middle position', 'someone who serves as an intermediary between the living and the dead', '(usually plural', 'an occupation for which you are especially well suited']"
1,MERCER,"['a dealer in textiles (especially silks', 'British maker of printed calico cloth who invented mercerizing (1791-1866']"
1,OTHER,"['not the same one or ones already mentioned or implied', 'recently past', 'belonging to the distant past', 'very unusual; different in character or quality from the normal or expected']"
1,PERSONALLY,"['as yourself', 'as a person', 'in a personal way', 'in the flesh; without involving anyone else', 'concerning the speaker']"
